사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2023-03,1호선,0150,서울역,1349455,1298855,223511,212406
2023-03,1호선,0151,시청,669179,673785,108562,107376
2023-03,1호선,0152,종각,992515,975393,156932,147033
2023-03,1호선,0153,종로3가,516820,464324,338698,313743
2023-03,1호선,0154,종로5가,497105,498548,282207,271364
2023-03,1호선,0155,동대문,233383,223763,134328,134865
2023-03,1호선,0156,신설동,303835,291812,126310,122327
2023-03,1호선,0157,제기동,247546,237304,299315,320638
2023-03,1호선,0158,청량리(서울시립대입구),365529,359389,275822,273290
2023-03,1호선,0159,동묘앞,147036,156142,175816,179572
2023-03,2호선,0201,시청,670095,633443,65798,59673
2023-03,2호선,0202,을지로입구,1258308,1296611,108987,101293
2023-03,2호선,0203,을지로3가,631036,625437,81539,80172
2023-03,2호선,0204,을지로4가,327493,334278,85577,84471
2023-03,2호선,0205,동대문역사문화공원(DDP),377886,430085,61893,66869
2023-03,2호선,0206,신당,351084,364711,100943,101962
2023-03,2호선,0207,상왕십리,367382,348826,72092,72914
2023-03,2호선,0208,왕십리(성동구청),464096,393814,55615,49170
2023-03,2호선,0209,한양대,394951,449953,14946,15903
2023-03,2호선,0210,뚝섬,632157,671557,63592,63811
2023-03,2호선,0211,성수,1054570,1174298,110515,112697
2023-03,2호선,0212,건대입구,1085894,1139508,98661,102902
2023-03,2호선,0213,구의(광진구청),617646,597256,112433,113889
2023-03,2호선,0214,강변(동서울터미널),847733,794552,127464,123058
2023-03,2호선,0215,잠실나루,354259,343200,93902,93782
2023-03,2호선,0216,잠실(송파구청),2092005,2080087,227110,216735
2023-03,2호선,0217,잠실새내,578713,573343,119702,119415
2023-03,2호선,0218,종합운동장,212738,227597,52502,54622
2023-03,2호선,0219,삼성(무역센터),1466935,1488896,124517,115848
2023-03,2호선,0220,선릉,1372249,1214123,234019,205410
2023-03,2호선,0221,역삼,1299415,1509438,156648,160097
2023-03,2호선,0222,강남,2222474,2153324,167802,146766
2023-03,2호선,0223,교대(법원.검찰청),809510,931365,169153,194019
2023-03,2호선,0224,서초,571427,543488,93965,94490
2023-03,2호선,0225,방배,488876,510884,84758,84161
2023-03,2호선,0226,사당,1011580,1148276,233382,224984
2023-03,2호선,0227,낙성대(강감찬),753095,718709,116087,117554
2023-03,2호선,0228,서울대입구(관악구청),1294865,1261926,194379,184663
2023-03,2호선,0229,봉천,576863,525543,157995,158836
2023-03,2호선,0230,신림,1534995,1477009,213710,210944
2023-03,2호선,0231,신대방,654068,627678,138901,141177
2023-03,2호선,0232,구로디지털단지,1545127,1529539,197470,198586
2023-03,2호선,0233,대림(구로구청),616456,628561,140032,145199
2023-03,2호선,0234,신도림,1306855,1301277,226993,215549
2023-03,2호선,0235,문래,557838,580182,92739,92534
2023-03,2호선,0236,영등포구청,535982,557586,106680,105831
2023-03,2호선,0237,당산,515845,598000,65273,71841
2023-03,2호선,0238,합정,931946,1023245,75242,76608
2023-03,2호선,0239,홍대입구,2027453,2165965,104002,100607
2023-03,2호선,0240,신촌,1105774,1117870,131677,129608
2023-03,2호선,0241,이대,508783,553032,52639,55412
2023-03,2호선,0242,아현,270482,252555,69510,68188
2023-03,2호선,0243,충정로(경기대입구),249784,268813,51331,51828
2023-03,2호선,0244,용답,79039,81401,19767,20175
2023-03,2호선,0245,신답,40903,44927,11091,11601
2023-03,2호선,0246,신설동,86456,83144,35019,36679
2023-03,2호선,0247,도림천,30132,32017,8456,9479
2023-03,2호선,0248,양천구청,161801,170050,54977,55955
2023-03,2호선,0249,신정네거리,242105,249888,77818,79700
2023-03,2호선,0250,용두(동대문구청),49375,47738,25759,26244
2023-03,3호선,0309,지축,159870,157192,33374,32328
2023-03,3호선,0310,구파발,523670,510309,130722,126383
2023-03,3호선,0311,연신내,812751,768050,276984,266381
2023-03,3호선,0312,불광,364952,392349,150729,166777
2023-03,3호선,0313,녹번,400212,353850,83357,82500
2023-03,3호선,0314,홍제,411766,390091,152314,149441
2023-03,3호선,0315,무악재,99208,95974,33768,36562
2023-03,3호선,0316,독립문,161270,171396,77336,78774
2023-03,3호선,0317,경복궁(정부서울청사),681533,692733,104670,104414
2023-03,3호선,0318,안국,700265,737294,111912,117619
2023-03,3호선,0319,종로3가,241076,292204,65936,73865
2023-03,3호선,0320,을지로3가,281544,287178,54172,52138
2023-03,3호선,0321,충무로,45,0,3,0
2023-03,3호선,0322,동대입구,286845,326119,41090,46254
2023-03,3호선,0323,약수,312819,303239,88444,83091
2023-03,3호선,0324,금호,190682,172126,58126,56555
